link,caption
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_36.jpg,a man in a wet suit holding a surfboard 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_380.jpg,a group of people standing in front of a bus 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_367.jpg,a group of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_382.jpg,a man and a woman sitting on a bed 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_379.jpg,a group of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_357.jpg,a group of people walking down a rain soaked street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_385.jpg,a man in a suit and tie standing in front of a train 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_38.jpg,a young boy wearing a hat and hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_389.jpg,a man and a woman standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_375.jpg,a woman standing in front of a refrigerator 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_373.jpg,a group of young children standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_396.jpg,a group of people standing around a table with a cake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_372.jpg,a group of people standing around a fruit stand 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_378.jpg,a group of people sitting on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_4.jpg,a large bridge spanning the width of a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_383.jpg,a man and a woman are sitting at a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_374.jpg,a group of people standing around a table full of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_390.jpg,a group of people sitting around a table with food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_48.jpg,a group of young children sitting on a bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_37.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_40.jpg,a man sitting on a bench with a hat on 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_393.jpg,a man standing on a beach flying a kite 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_376.jpg,a man wearing a hat and a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_44.jpg,a group of children sitting around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_381.jpg,a large group of people standing around a table
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_386.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_41.jpg,a group of young children standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_39.jpg,a young girl wearing a hat and a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_394.jpg,a bunch of bananas that are sitting on the ground 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_388.jpg,a group of people standing around each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_384.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_395.jpg,a large semi truck parked in a parking lot 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_391.jpg,a group of people sitting around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_57.jpg,a man and woman standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_59.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_45.jpg,a group of children sitting around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_46.jpg,a crowd of people standing around a store 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_47.jpg,a little girl sitting on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_56.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_65.jpg,a little girl wearing a hat and a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_392.jpg,a close up of a box of doughnuts
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_42.jpg,a woman sitting on a boat in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_5.jpg,a woman laying on a bed with a book 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_43.jpg,a young girl wearing a hat and a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_53.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_387.jpg,a group of people standing around a dog 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_63.jpg,a woman in a pink dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_55.jpg,a young girl wearing a hat and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_70.jpg,a little girl wearing a hat and a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_54.jpg,a man wearing a hat and tie holding a blue umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_51.jpg,a woman holding a cell phone up to her ear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_66.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_60.jpg,a group of people sitting around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_62.jpg,a group of young children standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_61.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_52.jpg,a woman holding an umbrella in the rain 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_73.jpg,a man with a beard and a tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_6.jpg,a group of people standing in front of a store 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_64.jpg,a group of people posing for a picture 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_50.jpg,a man and a woman standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_49.jpg,a young girl wearing a hat and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_67.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_74.jpg,a group of young children dressed in costumes 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_7.jpg,a large jetliner flying over a mountain range 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_76.jpg,a little girl holding a pink umbrella in her hands 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_75.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_71.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_90.jpg,a group of people riding on top of a boat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_68.jpg,a man in a suit and tie standing in a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_69.jpg,a group of people sitting around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_87.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_79.jpg,a group of people riding skis down a snow covered slope 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_58.jpg,a man wearing a hat and a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_72.jpg,a young boy holding a banana in his hands 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_89.jpg,a group of people standing in a field flying kites 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_81.jpg,a group of people standing around a table with umbrellas 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_80.jpg,a woman in a wet suit holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_109.jpg,a bridge with a clock tower in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_94.jpg,a young boy wearing a hat and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_77.jpg,a woman in a wet suit holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_84.jpg,a couple of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_92.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_88.jpg,a black and white photo of a group of people
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_8.jpg,a man standing in a field next to a tree 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_97.jpg,a woman sitting on a bench with a bike 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_9.jpg,a man holding a surfboard in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_83.jpg,a young boy holding a baseball bat in his hands 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_113.jpg,a city street filled with lots of traffic 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_82.jpg,a group of young children standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_78.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_108.jpg,a large body of water surrounded by mountains 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_106.jpg,a scenic view of a mountain with a mountain in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_95.jpg,a woman wearing a hat and sunglasses talking on a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_101.jpg,a large building with a clock tower in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_93.jpg,a group of people standing around a pile of luggage 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_91.jpg,a man wearing a hat and a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_102.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_111.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_99.jpg,a group of people standing around a table with food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_117.jpg,a large body of water surrounded by mountains 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_96.jpg,a little boy sitting on a chair with a stuffed animal 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_1.jpg,a large stone building with a clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_0.jpg,a city street filled with lots of tall buildings 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_98.jpg,a little boy sitting on a chair with a stuffed animal 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_104.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_103.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_86.jpg,a group of people standing around each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_112.jpg,a train traveling through a lush green forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_10.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_11.jpg,a train traveling down a track near a mountain 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_107.jpg,a small boat in a body of water
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_110.jpg,a large body of water with a clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_116.jpg,a group of boats floating on top of a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam people\Image_8_85.jpg,a woman in a red dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_115.jpg,a train traveling over a bridge over a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_100.jpg,a group of boats floating on top of a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_124.jpg,a train traveling over a bridge over a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_123.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_118.jpg,a group of people standing on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_12.jpg,a flock of birds sitting on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_119.jpg,a stone building with a clock tower on it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_121.jpg,a red fire hydrant sitting in the middle of a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_129.jpg,a flock of birds sitting on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_126.jpg,a large bridge spanning the width of a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_128.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_131.jpg,a large body of water surrounded by trees 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_114.jpg,a group of boats floating on top of a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_130.jpg,a man riding a paddle boat on a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_105.jpg,a view of a street with a clock tower in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_139.jpg,a large body of water with a clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_125.jpg,a group of people sitting on a bench next to a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_13.jpg,a couple of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_132.jpg,a man riding a bike down a street next to a tall building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_122.jpg,a large body of water with lots of boats 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_120.jpg,a small boat in a body of water
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_14.jpg,a man riding a paddle boat on a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_127.jpg,a train traveling through a lush green forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_143.jpg,a group of horses grazing in a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_142.jpg,a boat floating on a river next to a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_134.jpg,a large building with a clock tower in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_159.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_137.jpg,a group of people standing next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_145.jpg,a herd of sheep grazing on a lush green field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_148.jpg,a city street filled with lots of traffic 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_153.jpg,a river with a bridge in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_135.jpg,a river with a bridge in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_141.jpg,a group of people sitting on top of a wooden bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_151.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_133.jpg,a boat that is sitting in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_136.jpg,a river with a bridge in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_140.jpg,a group of people sitting on top of a boat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_158.jpg,a group of boats floating on top of a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_150.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_146.jpg,a herd of cattle grazing on a lush green hillside 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_15.jpg,a large body of water surrounded by trees 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_149.jpg,a herd of sheep grazing on a lush green field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_155.jpg,a building with a clock on the top of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_138.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_157.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_166.jpg,a group of boats floating on top of a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_172.jpg,a large body of water filled with lots of boats 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_144.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_152.jpg,a herd of sheep grazing on a lush green field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_174.jpg,a large body of water with a boat in it
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_165.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_154.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_161.jpg,a couple of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_18.jpg,a large body of water with a mountain in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_160.jpg,a group of people sitting on top of a stone bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_179.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_176.jpg,a herd of sheep grazing on a lush green field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_183.jpg,a building with a clock on the top of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_169.jpg,a herd of sheep grazing on a lush green hillside 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_188.jpg,a couple of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_162.jpg,a mountain with a mountain in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_147.jpg,a large body of water with a boat in it
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_156.jpg,a large body of water with lots of boats 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_168.jpg,a herd of cattle grazing on a lush green hillside 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_163.jpg,a group of lawn chairs sitting under an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_177.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_171.jpg,a train traveling down tracks next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_175.jpg,a city street filled with lots of traffic 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_182.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_16.jpg,a man riding a bike down a street next to a tall building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_186.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_184.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_178.jpg,a large building with a large clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_180.jpg,a herd of sheep grazing on a lush green field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_181.jpg,a river with a bridge in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_167.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_185.jpg,a group of boats floating on top of a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_19.jpg,a person riding a bike on a city street
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_173.jpg,a herd of cattle grazing on a lush green hillside 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_187.jpg,a flock of birds sitting on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_164.jpg,a large body of water surrounded by mountains 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_205.jpg,a stop sign on the side of a road 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_20.jpg,a group of people standing next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_2.jpg,a group of people standing on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_199.jpg,a large body of water filled with lots of boats 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_194.jpg,a group of boats floating on top of a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_191.jpg,a group of lawn chairs sitting under an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_192.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_201.jpg,a city street filled with lots of tall buildings 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_189.jpg,a large body of water with lots of boats 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_17.jpg,a boat that is sitting in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_195.jpg,a herd of cattle grazing on a lush green hillside 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_197.jpg,a group of people sitting on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_193.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_190.jpg,a mountain with a mountain in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_200.jpg,a brown and white sheep standing in a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_208.jpg,a stop sign on the side of a road 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_207.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_209.jpg,a crowd of people standing around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_204.jpg,a bench sitting in the middle of a lush green field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_198.jpg,a train traveling down tracks next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_212.jpg,a group of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_211.jpg,a building with a clock on the top of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_210.jpg,a group of boats floating on top of a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_196.jpg,a herd of sheep grazing on a lush green hillside 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_170.jpg,a group of people sitting on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_23.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_206.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_21.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_214.jpg,a boat traveling down a river next to a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_213.jpg,a herd of cattle grazing on a lush green field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_219.jpg,a train traveling down a track near a mountain 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_217.jpg,a large building with a clock tower in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_215.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_203.jpg,a very tall clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_216.jpg,a group of people standing around a table filled with food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_224.jpg,a close up of a clock on a table
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_202.jpg,a large stone building with a clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_221.jpg,a lush green field filled with lots of trees 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_223.jpg,a red stop sign sitting on the side of a road 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_239.jpg,a herd of sheep grazing on a lush green hillside 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_222.jpg,a large body of water filled with lots of boats 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_233.jpg,a large body of water with a bridge in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_234.jpg,a stop sign on the side of the road 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_232.jpg,a large building with a clock on the top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_225.jpg,a large body of water with a mountain in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_248.jpg,a scenic view of a mountain with a mountain in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_22.jpg,a large body of water with a clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_235.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_227.jpg,a bunch of boats that are sitting in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_230.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_220.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_228.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_231.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_244.jpg,a large body of water next to a bridge 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_218.jpg,a large building with a large clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_238.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_247.jpg,a view of a street with a clock tower in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_25.jpg,a group of people sitting on top of a wooden bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_251.jpg,a bridge with a clock tower in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam places\Image_9_236.jpg,boats are docked at a pier in the water 
